,y,x,kmeans,dbscan1,dbscan2
206,41.17890702,-8.654487248,0,4,3
207,41.1798825,-8.653186606,0,4,3
208,41.18004508,-8.651235643,0,4,3
209,41.17825669,-8.650422742,0,4,3
210,41.17874444,-8.648634359,0,4,3
211,41.18037024,-8.64960984,0,4,3
212,41.1798825,-8.647658877,0,4,3
213,41.18167088,-8.650747902,0,4,3
214,41.18199604,-8.648634359,0,4,3
215,41.18118314,-8.647008556,0,4,3
216,41.20898436,-8.659039495,2,5,4
217,41.2070334,-8.659852397,2,5,4
218,41.20898436,-8.660990458,2,5,4
219,41.20719598,-8.661640779,2,5,4
220,41.2086592,-8.663266582,2,5,4
221,41.20670824,-8.663916903,2,5,4
222,41.20491986,-8.663916903,2,5,4
223,41.20557018,-8.66180336,2,5,4
224,41.2037818,-8.661153039,2,5,4
225,41.2054076,-8.660177557,2,5,4
226,41.20361921,-8.658876915,2,5,4
227,41.2037818,-8.663266582,2,5,4
228,41.20231857,-8.661153039,2,5,4
229,41.20231857,-8.664404644,2,5,4
230,41.20199341,-8.662453681,2,5,4
231,41.20134309,-8.659689816,2,5,4
232,41.20410696,-8.665705286,2,5,4
233,41.20638308,-8.665380125,2,5,4
234,41.20882178,-8.665054965,2,5,4
235,41.20491986,-8.666843348,2,5,4
236,41.20768372,-8.666518187,2,5,4
237,41.20264373,-8.666680767,2,5,4
238,41.20118051,-8.665542706,2,5,4
239,41.20053019,-8.663266582,2,5,4
240,41.20053019,-8.661153039,2,5,4
241,41.21012243,-8.6622911,2,5,4
242,41.21028501,-8.664242064,2,5,4
243,41.21077275,-8.660177557,2,5,4
244,41.20118051,-8.667005928,2,5,4
245,41.19987987,-8.665867866,2,5,4
246,41.19922955,-8.663754323,2,5,4
247,41.19906697,-8.66180336,2,5,4
248,41.19825407,-8.659689816,2,5,4
249,41.19987987,-8.659689816,2,5,4
250,41.19857923,-8.657576273,2,5,4
251,41.20134309,-8.658064014,2,5,4
252,41.20557018,-8.658226594,2,5,4
253,41.2078463,-8.658226594,2,5,4
254,41.21077275,-8.658064014,2,5,4
255,41.19825407,-8.665542706,2,5,4
256,41.19760375,-8.663266582,2,5,4
257,41.19679084,-8.660827878,2,5,4
258,41.19695342,-8.658226594,2,5,4
259,41.19679084,-8.655137569,2,5,4
260,41.21126049,-8.654974989,2,5,4
261,41.2086592,-8.65578789,2,5,4
262,41.20573276,-8.65595047,2,5,4
263,41.20280631,-8.65578789,2,5,4
264,41.20004245,-8.65578789,2,5,4
265,41.19841665,-8.653674347,2,5,4
266,41.19679084,-8.651885964,2,5,4
267,41.19679084,-8.648471779,2,5,4
268,41.19971729,-8.649935001,2,5,4
269,41.20150567,-8.653186606,2,5,4
270,41.20524502,-8.653674347,2,5,4
271,41.20898436,-8.653349186,2,5,4
272,41.21077275,-8.650422742,2,5,4
273,41.2070334,-8.650910482,2,5,4
274,41.20426954,-8.650910482,2,5,4
275,41.20231857,-8.647496297,2,-1,4
276,41.19857923,-8.645870494,2,5,4
277,41.19662826,-8.642293729,4,-1,4
278,41.19695342,-8.63692858,4,-1,4
279,41.19987987,-8.640505346,4,-1,4
280,41.20296889,-8.644082112,4,-1,4
281,41.20638308,-8.647821458,2,5,4
282,41.21028501,-8.646033075,2,5,4
283,41.20719598,-8.64294405,4,-1,4
284,41.21061017,-8.640017605,4,-1,4
285,41.2078463,-8.635465358,4,-1,4
286,41.20524502,-8.639204704,4,-1,4
287,41.20183083,-8.635627938,4,-1,4
288,41.19727858,-8.63042537,4,-1,4
289,41.20150567,-8.630913111,4,-1,4
290,41.20524502,-8.634489876,4,-1,4
291,41.21044759,-8.63026279,4,-1,4
292,41.20963468,-8.62424732,4,-1,4
293,41.2062205,-8.628149246,4,-1,4
294,41.2045947,-8.622296357,4,-1,4
295,41.20199341,-8.626035703,4,-1,4
296,41.19792891,-8.626686024,4,-1,4
297,41.19825407,-8.619857653,4,-1,4
298,41.20053019,-8.622946678,4,-1,4
299,41.20296889,-8.615793147,4,-1,4
300,41.2086592,-8.617093789,4,-1,4
301,41.2086592,-8.609777677,4,-1,4
302,41.19158828,-8.676598163,6,-1,-1
303,41.20313147,-8.684727176,2,-1,-1
304,41.20752114,-8.67480978,2,-1,4
305,41.18654829,-8.688141361,6,-1,-1
306,41.18687345,-8.659689816,2,-1,-1
307,41.18589797,-8.632864074,4,-1,-1
308,41.19353924,-8.611240899,4,-1,-1
309,41.17207864,-8.59286933,5,-1,-1
310,41.16037287,-8.571571317,1,-1,-1
311,41.17305413,-8.574660341,5,-1,-1
312,41.16069803,-8.590918367,1,-1,-1
313,41.16004771,-8.630100209,3,-1,-1
314,41.16037287,-8.645220173,0,-1,-1
315,41.1411884,-8.650260161,0,-1,-1
316,41.14232646,-8.679036867,0,-1,-1
317,41.15143095,-8.688466522,6,-1,-1
318,41.15614578,-8.679036867,6,-1,-1
319,41.13988775,-8.606200911,1,-1,-1
320,41.1452529,-8.574660341,1,-1,-1
321,41.17207864,-8.613354443,3,-1,-1
